,index,user_id,상품명,item_option,user_rank,star,write_date,발색력,지속력,발림성,수분감,올리브영 후기 유무,광고 유무,user_type1,user_type3,user_type4,탑리뷰어,user_type2,user_type5,item_no,user_no,rating,브랜드,가격,평균별점,발색력점수,지속력점수,발림성점수,수분감점수
0,0,체리브영,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,TOP 375,4.0,2022-08-04,2.0,2.0,3.0,2.0,,0,지성,모공,트러블,0,가을웜톤,,12,1599,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
1,1,꽁딩이,[NEW] 무지개맨션 오브제 리퀴드,,,4.0,2022-09-07,2.0,2.0,2.0,3.0,,1,,,,0,,,12,637,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
2,2,체리브영,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 001 베얼리,TOP 207,4.0,2022-08-31,2.0,2.0,2.0,1.0,,0,민감성,모공,민감성,0,봄웜톤,,12,1599,7.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
3,3,올영은콩다콩,[NEW] 무지개맨션 오브제 리퀴드,,,4.0,2022-09-06,2.0,2.0,2.0,2.0,,1,,,,0,,,12,1362,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
4,4,플랑플랑,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 013 어필,TOP 375,5.0,2022-10-14,3.0,2.0,3.0,2.0,,0,지성,모공,트러블,0,가을웜톤,,12,1722,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
5,5,Leean,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 014 텐션,,5.0,2022-10-12,3.0,3.0,3.0,2.0,,0,,,,0,,,12,58,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
6,6,Thffnsl,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,TOP 400,4.0,2022-10-04,3.0,2.0,1.0,1.0,,0,복합성,모공,아토피,0,봄웜톤,,12,108,7.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
7,7,로만밀,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,4.0,2022-09-24,3.0,2.0,2.0,1.0,,0,,,,0,,,12,824,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
8,8,로만밀,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 004 어펙션,TOP 695,3.0,2022-09-24,2.0,2.0,1.0,1.0,,0,복합성,미백,블랙헤드,0,쿨톤,,12,824,6.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
9,9,다로,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-09-10,3.0,2.0,3.0,1.0,,1,,,,0,,,12,724,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
10,10,체리브영,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,5.0,2022-09-07,3.0,3.0,3.0,2.0,,0,,,,0,,,12,1599,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
11,11,영아일해라,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,TOP 1556,5.0,2022-09-01,3.0,1.0,3.0,1.0,,0,복합성,모공,블랙헤드,0,가을웜톤,,12,1276,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
12,12,츄베룝,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-08-26,3.0,2.0,3.0,1.0,,1,,,,0,,,12,1615,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
13,13,밍링ㅇ,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 004 어펙션,,5.0,2022-08-04,3.0,3.0,2.0,1.0,,0,,,,0,,,12,966,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
14,14,러키연,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 005 스터닝,,5.0,2022-07-14,3.0,3.0,3.0,2.0,,0,,,,0,,,12,811,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
15,15,플랑플랑,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 012 심볼,TOP 522,5.0,2022-10-14,3.0,2.0,3.0,2.0,,0,복합성,각질,모공,0,봄웜톤,,12,1722,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
16,16,예민구름,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,5.0,2022-09-29,3.0,2.0,3.0,2.0,,0,,,,0,,,12,1282,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
17,17,뚜뚜몸뽈링리링링,[NEW] 무지개맨션 오브제 리퀴드,,TOP 375,5.0,2022-08-28,3.0,2.0,3.0,2.0,,1,복합성,민감성,잡티,0,봄웜톤,,12,787,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
18,18,올리뷰,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,,5.0,2022-08-07,3.0,1.0,2.0,2.0,,0,,,,0,,,12,1324,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
19,19,상강,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 004 어펙션,TOP 166,4.0,2022-09-18,3.0,2.0,3.0,1.0,,0,트러블성,트러블,,0,가을웜톤,,12,1097,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
