,user_no,상품명,star
0,1599,[NEW] 무지개맨션 오브제 리퀴드,4.0
1,637,[NEW] 무지개맨션 오브제 리퀴드,4.0
2,1599,[NEW] 무지개맨션 오브제 리퀴드,4.0
3,1362,[NEW] 무지개맨션 오브제 리퀴드,4.0
4,1722,[NEW] 무지개맨션 오브제 리퀴드,5.0
5,58,[NEW] 무지개맨션 오브제 리퀴드,5.0
6,108,[NEW] 무지개맨션 오브제 리퀴드,4.0
7,824,[NEW] 무지개맨션 오브제 리퀴드,4.0
8,824,[NEW] 무지개맨션 오브제 리퀴드,3.0
9,724,[NEW] 무지개맨션 오브제 리퀴드,5.0
10,1599,[NEW] 무지개맨션 오브제 리퀴드,5.0
11,1276,[NEW] 무지개맨션 오브제 리퀴드,5.0
12,1615,[NEW] 무지개맨션 오브제 리퀴드,5.0
13,966,[NEW] 무지개맨션 오브제 리퀴드,5.0
14,811,[NEW] 무지개맨션 오브제 리퀴드,5.0
15,1722,[NEW] 무지개맨션 오브제 리퀴드,5.0
16,1282,[NEW] 무지개맨션 오브제 리퀴드,5.0
17,787,[NEW] 무지개맨션 오브제 리퀴드,5.0
18,1324,[NEW] 무지개맨션 오브제 리퀴드,5.0
19,1097,[NEW] 무지개맨션 오브제 리퀴드,4.0
20,1364,[NEW] 무지개맨션 오브제 리퀴드,4.0
21,1652,[NEW] 무지개맨션 오브제 리퀴드,4.0
22,1775,[NEW] 무지개맨션 오브제 리퀴드,5.0
23,1097,[NEW] 무지개맨션 오브제 리퀴드,5.0
24,1097,[NEW] 무지개맨션 오브제 리퀴드,5.0
25,895,[NEW] 무지개맨션 오브제 리퀴드,5.0
26,620,[NEW] 무지개맨션 오브제 리퀴드,4.0
27,1244,[NEW] 무지개맨션 오브제 리퀴드,5.0
28,1653,[NEW] 무지개맨션 오브제 리퀴드,4.0
29,51,[NEW] 무지개맨션 오브제 리퀴드,5.0
30,1599,[NEW] 무지개맨션 오브제 리퀴드,4.0
31,772,[NEW] 무지개맨션 오브제 리퀴드,4.0
32,349,[NEW] 무지개맨션 오브제 리퀴드,5.0
33,958,[NEW] 무지개맨션 오브제 리퀴드,5.0
34,1733,[NEW] 무지개맨션 오브제 리퀴드,5.0
35,554,[NEW] 무지개맨션 오브제 리퀴드,4.0
36,1007,[NEW] 무지개맨션 오브제 리퀴드,5.0
37,1652,[NEW] 무지개맨션 오브제 리퀴드,4.0
38,178,[NEW] 무지개맨션 오브제 리퀴드,5.0
39,1425,[NEW] 무지개맨션 오브제 리퀴드,5.0
40,457,[NEW] 무지개맨션 오브제 리퀴드,5.0
41,806,[NEW] 무지개맨션 오브제 리퀴드,5.0
42,137,[NEW] 무지개맨션 오브제 리퀴드,5.0
43,1627,[NEW] 무지개맨션 오브제 리퀴드,5.0
44,1391,[NEW] 무지개맨션 오브제 리퀴드,5.0
45,1440,[NEW] 무지개맨션 오브제 리퀴드,5.0
46,948,[NEW] 무지개맨션 오브제 리퀴드,5.0
47,262,[NEW] 무지개맨션 오브제 리퀴드,5.0
48,1643,[NEW] 무지개맨션 오브제 리퀴드,5.0
49,554,[NEW] 무지개맨션 오브제 리퀴드,5.0
50,640,[NEW] 무지개맨션 오브제 리퀴드,5.0
51,1332,[NEW] 무지개맨션 오브제 리퀴드,5.0
52,542,[NEW] 무지개맨션 오브제 리퀴드,4.0
53,1234,[NEW] 무지개맨션 오브제 리퀴드,5.0
54,457,[NEW] 무지개맨션 오브제 리퀴드,4.0
55,1599,[NEW] 무지개맨션 오브제 리퀴드,4.0
56,1775,[NEW] 무지개맨션 오브제 리퀴드,5.0
57,1775,[NEW] 무지개맨션 오브제 리퀴드,5.0
58,1775,[NEW] 무지개맨션 오브제 리퀴드,5.0
59,1059,[NEW] 무지개맨션 오브제 리퀴드,5.0
60,1722,[NEW] 무지개맨션 오브제 리퀴드,5.0
61,1324,[NEW] 무지개맨션 오브제 리퀴드,5.0
62,1639,[NEW] 무지개맨션 오브제 리퀴드,4.0
63,1319,[NEW] 무지개맨션 오브제 리퀴드,5.0
64,542,[NEW] 무지개맨션 오브제 리퀴드,5.0
65,706,[NEW] 무지개맨션 오브제 리퀴드,4.0
66,119,[NEW] 무지개맨션 오브제 리퀴드,5.0
67,377,[NEW] 무지개맨션 오브제 리퀴드,5.0
68,1610,[NEW] 무지개맨션 오브제 리퀴드,5.0
69,229,[NEW] 무지개맨션 오브제 리퀴드,5.0
70,1722,[NEW] 무지개맨션 오브제 리퀴드,5.0
71,1555,[NEW] 무지개맨션 오브제 리퀴드,5.0
72,1134,[NEW] 무지개맨션 오브제 리퀴드,5.0
73,1599,[NEW] 무지개맨션 오브제 리퀴드,4.0
74,1183,[NEW] 무지개맨션 오브제 리퀴드,5.0
75,529,[NEW] 무지개맨션 오브제 리퀴드,5.0
76,875,[NEW] 무지개맨션 오브제 리퀴드,4.0
77,895,[NEW] 무지개맨션 오브제 리퀴드,5.0
78,1052,[NEW] 무지개맨션 오브제 리퀴드,5.0
79,1458,[NEW] 무지개맨션 오브제 리퀴드,4.0
80,889,[NEW] 무지개맨션 오브제 리퀴드,5.0
81,250,[NEW] 무지개맨션 오브제 리퀴드,5.0
82,1649,[NEW] 무지개맨션 오브제 리퀴드,4.0
83,1639,[NEW] 무지개맨션 오브제 리퀴드,5.0
84,1095,[NEW] 무지개맨션 오브제 리퀴드,5.0
85,705,[NEW] 무지개맨션 오브제 리퀴드,5.0
86,1139,[NEW] 무지개맨션 오브제 리퀴드,5.0
87,1276,[NEW] 무지개맨션 오브제 리퀴드,5.0
88,255,[NEW] 무지개맨션 오브제 리퀴드,5.0
89,1715,[NEW] 무지개맨션 오브제 리퀴드,4.0
90,1641,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
91,122,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
